pid,count,avg_accuracy_pid,sd_accuracy_pid
Republican,197,0.5467005076142132,0.27152587851588406
Democrat,281,0.9359430604982206,0.10499957634213784
Independent,202,0.8321782178217821,0.22986954535428403
